City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Windspeed (mph),Country,Date
paamiut,61.994,-49.6678,30.69,88,3,2.91,GL,1618355313
clyde river,70.4692,-68.5914,3.2,78,75,14.97,CA,1618355295
bonthe,7.5264,-12.505,78.87,84,100,5.59,SL,1618355313
hervey bay,-25.2986,152.8535,70.0,71,10,3.0,AU,1618355314
belaya gora,68.5333,146.4167,3.4,87,39,1.68,RU,1618355315
bambanglipuro,-7.95,110.2833,75.72,89,42,3.18,ID,1618355316
salalah,17.0151,54.0924,78.8,73,0,3.44,OM,1618355316
bat khela,34.6167,71.9714,62.49,50,59,6.46,PK,1618355318
aklavik,68.2191,-135.0107,37.4,44,1,1.19,CA,1618355300
kruisfontein,-34.0033,24.7314,66.0,97,44,1.01,ZA,1618355319
angoche,-16.2325,39.9086,77.4,74,80,9.71,MZ,1618355319
kaitangata,-46.2817,169.8464,52.29,93,100,6.89,NZ,1618355258
jamestown,42.097,-79.2353,55.4,47,1,10.36,US,1618355235
peruibe,-24.32,-46.9983,70.75,84,41,5.7,BR,1618355320
barrow,71.2906,-156.7887,6.8,72,1,6.91,US,1618355321
cabo san lucas,22.8909,-109.9124,82.4,39,1,10.36,MX,1618355299
ternate,0.8,127.4,81.16,79,85,5.19,ID,1618355322
georgetown,5.4112,100.3354,78.8,94,20,3.44,MY,1618355245
shingu,33.7333,135.9833,62.6,77,40,16.11,JP,1618355323
asau,46.4333,26.4,48.0,54,97,1.32,RO,1618355324
nouadhibou,20.931,-17.0347,71.6,49,74,21.85,MR,1618355324
guaraniacu,-25.1008,-52.8781,64.96,90,59,1.36,BR,1618355325
north guwahati,26.2014,91.7236,68.0,77,75,5.75,IN,1618355326
busselton,-33.65,115.3333,58.57,73,100,1.66,AU,1618355326
erzin,36.9559,36.2,55.0,73,2,3.27,TR,1618355327
tuktoyaktuk,69.4541,-133.0374,21.2,73,20,4.61,CA,1618355258
bluff,-46.6,168.3333,53.01,93,100,5.99,NZ,1618355328
pierre,44.3683,-100.351,39.99,41,90,24.16,US,1618355192
lagoa,39.05,-27.9833,60.24,92,52,16.42,PT,1618355329
cacule,-14.5033,-42.2222,75.94,42,74,0.85,BR,1618355329
ancud,-41.8697,-73.8203,62.6,82,20,4.61,CL,1618355330
axim,4.8699,-2.2405,80.96,85,77,6.26,GH,1618355330
taoudenni,22.6783,-3.9836,92.12,9,49,0.49,ML,1618355331
sitka,57.0531,-135.33,44.6,76,90,12.66,US,1618355331
victoria,22.2855,114.1577,77.0,87,16,1.99,HK,1618355274
menomonie,44.8755,-91.9193,34.0,74,90,13.8,US,1618355332
cidreira,-30.1811,-50.2056,69.37,63,2,8.63,BR,1618355333
sao filipe,14.8961,-24.4956,77.65,58,0,7.52,CV,1618355333
vestmannaeyjar,63.4427,-20.2734,43.38,87,10,5.93,IS,1618355334
nayudupeta,13.9,79.9,78.39,82,35,4.76,IN,1618355334
norman wells,65.282,-126.8329,39.2,41,20,8.05,CA,1618355335
kodiak,57.79,-152.4072,39.2,87,90,16.11,US,1618355335
kavaratti,10.5669,72.642,82.58,73,76,3.4,IN,1618355336
hermanus,-34.4187,19.2345,66.27,74,3,5.57,ZA,1618355336
east london,-33.0153,27.9116,71.94,81,37,3.11,ZA,1618355337
arraial do cabo,-22.9661,-42.0278,75.2,64,40,11.5,BR,1618355337
high level,58.5169,-117.136,46.4,36,90,5.75,CA,1618355338
hasaki,35.7333,140.8333,64.4,100,75,10.36,JP,1618355338
san nicolas,18.1725,120.5953,78.8,89,75,2.3,PH,1618355340
opuwo,-18.0607,13.84,68.13,37,1,8.08,NA,1618355341
atuona,-9.8,-139.0333,81.05,73,40,17.43,PF,1618355341
faya,18.3851,42.4509,64.4,63,0,3.76,SA,1618355342
saint marys,30.7305,-81.5465,73.0,73,1,8.05,US,1618355090
pangnirtung,66.1451,-65.7125,15.8,86,90,12.66,CA,1618355342
butaritari,3.0707,172.7902,82.15,77,87,11.9,KI,1618355343
geraldton,-28.7667,114.6,55.4,82,0,9.22,AU,1618355344
kahului,20.8947,-156.47,78.8,61,40,16.11,US,1618355094
constitucion,-35.3333,-72.4167,57.99,86,16,9.95,CL,1618355345
camana,-16.6228,-72.7111,69.03,80,62,4.61,PE,1618355345
mount isa,-20.7333,139.5,75.2,23,0,4.61,AU,1618355346
kapaa,22.0752,-159.319,78.8,61,40,19.57,US,1618355347
bilma,18.6853,12.9164,83.25,7,0,10.49,NE,1618355347
bidar,17.9,77.55,78.08,49,97,9.35,IN,1618355348
kavieng,-2.5744,150.7967,82.87,69,74,7.27,PG,1618355287
souillac,-20.5167,57.5167,77.0,88,75,10.36,MU,1618355296
puerto baquerizo moreno,-0.9,-89.6,80.6,83,20,4.61,EC,1618355349
talara,-4.5772,-81.2719,70.57,80,53,14.94,PE,1618355350
lebu,-37.6167,-73.65,58.15,94,48,12.73,CL,1618355351
kochi,9.9399,76.2602,75.2,94,40,2.3,IN,1618355316
save,8.0425,2.486,81.09,67,99,8.84,BJ,1618355352
bengkulu,-3.8004,102.2655,76.14,90,100,3.71,ID,1618355353
havre-saint-pierre,50.2334,-63.5986,42.8,56,1,8.05,CA,1618355354
ketchikan,55.3422,-131.6461,46.4,66,90,4.61,US,1618355355
saint-pierre,-21.3393,55.4781,77.0,78,40,2.3,RE,1618355356
urumqi,43.801,87.6005,53.6,24,0,2.24,CN,1618355356
kiama,-34.6833,150.8667,70.0,69,80,1.01,AU,1618355357
ilula,-7.6766,36.0366,61.81,97,98,3.2,TZ,1618355357
bambous virieux,-20.3428,57.7575,79.0,88,75,10.36,MU,1618355358
peleduy,59.6289,112.7406,19.87,97,90,4.54,RU,1618355358
los zacatones,22.95,-102.05,82.4,7,20,17.27,MX,1618355359
sao jose da coroa grande,-8.8978,-35.1478,78.57,84,98,6.69,BR,1618355359
boa viagem,-5.1275,-39.7322,79.14,66,100,3.0,BR,1618355228
moussoro,13.6408,16.4901,83.59,3,97,12.53,TD,1618355360
korsor,55.3299,11.1386,39.0,74,33,15.84,DK,1618355361
jiazi,22.8779,116.067,69.66,85,100,16.78,CN,1618355361
katsuura,35.1333,140.3,66.2,94,75,13.8,JP,1618355307
biak,-0.9131,122.8766,77.25,83,98,4.45,ID,1618355363
grand-santi,4.25,-54.3833,74.86,96,79,2.13,GF,1618355363
nobeoka,32.5833,131.6667,45.0,82,98,1.01,JP,1618355364
pahrump,36.2083,-115.9839,84.0,11,0,5.99,US,1618355365
lumding,25.7535,93.1732,70.03,42,0,1.68,IN,1618355366
bone,51.9669,12.1396,36.0,85,42,6.6,DE,1618355367
naron,43.5167,-8.1528,57.0,94,0,1.14,ES,1618355367
damghan,36.1683,54.348,61.75,43,87,2.33,IR,1618355368
congonhas,-20.4997,-43.8578,61.57,96,58,4.79,BR,1618355369
ribeira grande,38.5167,-28.7,62.6,94,40,13.8,PT,1618355370
anadyr,64.75,177.4833,12.2,79,75,11.18,RU,1618355370
nome,64.5011,-165.4064,34.0,86,90,10.36,US,1618355371
madera,37.1666,-119.8343,71.01,35,0,1.99,US,1618355120
puerto leguizamo,-0.1934,-74.7819,77.83,82,79,2.17,CO,1618355371
aswan,24.0934,32.907,71.22,14,100,9.89,EG,1618355372
bayir,37.2687,28.2167,55.4,88,0,4.61,TR,1618355373
mehamn,71.0357,27.8492,26.6,68,75,10.36,NO,1618355373
avarua,-21.2078,-159.775,82.4,65,14,4.61,CK,1618355281
faanui,-16.4833,-151.75,81.7,73,99,13.91,PF,1618355254
phaltan,17.9833,74.4333,77.85,47,47,5.23,IN,1618355374
savannah bight,16.45,-85.85,86.0,74,20,9.22,HN,1618355375
sao joao da barra,-21.6403,-41.0511,73.56,73,80,13.35,BR,1618355375
lavrentiya,65.5833,-171.0,26.15,93,100,6.76,RU,1618355376
lorengau,-2.0226,147.2712,83.23,73,53,9.62,PG,1618355377
ewa beach,21.3156,-158.0072,82.4,42,1,6.91,US,1618355115
qui nhon,13.7667,109.2333,76.73,80,100,3.29,VN,1618355118
pevek,69.7008,170.3133,-5.84,91,100,3.29,RU,1618355379
duluth,46.7833,-92.1066,37.4,75,90,14.97,US,1618355368
reconquista,-29.15,-59.65,64.94,72,15,5.35,AR,1618355380
nishihara,26.1842,127.7558,69.8,83,75,6.91,JP,1618355380
sinnamary,5.3833,-52.95,78.21,84,76,10.13,GF,1618355382
kirundo,-2.5833,30.1667,62.6,94,40,2.42,BI,1618355383
sinamar,16.9,121.5667,76.19,84,100,0.47,PH,1618355383
orlik,52.5178,99.825,20.05,76,100,4.09,RU,1618355384
qaanaaq,77.484,-69.3632,-9.51,97,93,3.71,GL,1618355263
mahebourg,-20.4081,57.7,77.0,88,75,10.36,MU,1618355385
coquimbo,-29.9533,-71.3436,57.2,88,90,8.05,CL,1618355299
akhisar,38.9185,27.8401,55.99,51,71,2.44,TR,1618355386
buala,-8.145,159.5921,84.07,65,28,3.83,SB,1618355386
paris,48.8534,2.3488,44.01,52,17,5.75,FR,1618354680
canutama,-6.5339,-64.3831,80.24,75,95,3.2,BR,1618355387
henties bay,-22.116,14.2845,84.0,25,2,1.99,NA,1618355388
cherskiy,68.75,161.3,1.36,79,87,3.98,RU,1618355388
imbituba,-28.24,-48.6703,69.8,73,40,4.61,BR,1618355389
uglekamensk,43.2172,133.2303,34.7,31,17,5.97,RU,1618355389
abu dhabi,24.4667,54.3667,84.2,28,0,3.44,AE,1618355390
luanda,-8.8368,13.2343,75.2,94,75,8.05,AO,1618355229
krasnohrad,49.3814,35.4402,45.3,88,86,6.64,UA,1618355390
nazarovo,56.0064,90.3914,31.15,88,100,10.11,RU,1618355391
nioki,-2.7167,17.6833,69.46,96,100,2.3,CD,1618355392
dzilam gonzalez,21.2833,-88.9333,96.13,35,0,10.02,MX,1618355393
pisco,-13.7,-76.2167,68.0,77,0,20.71,PE,1618355394
yumen,40.2833,97.2,42.1,31,17,11.36,CN,1618355394
worcester,42.3334,-71.8328,62.6,51,20,3.44,US,1618355240
mocuba,-16.8392,36.9856,68.29,95,75,3.24,MZ,1618355395
nanortalik,60.1432,-45.2371,35.78,77,0,1.16,GL,1618355395
saint-francois,46.4154,3.9054,37.0,86,0,5.75,FR,1618355396
torbay,47.6666,-52.7314,36.0,93,90,24.16,CA,1618355397
mehkar,20.1508,76.569,84.2,27,98,8.12,IN,1618355397
grand gaube,-20.0064,57.6608,79.0,81,87,5.99,MU,1618355375
los llanos de aridane,28.6585,-17.9182,69.8,68,0,4.61,ES,1618355398
garissa,-0.4536,39.6401,79.57,75,61,12.71,KE,1618355399
zhangye,38.9342,100.4517,41.67,41,0,2.08,CN,1618355399
korla,41.7597,86.1469,52.3,38,55,1.1,CN,1618355400
flinders,-34.5833,150.8552,63.0,69,76,1.01,AU,1618355403
caravelas,-17.7125,-39.2481,75.47,78,0,5.75,BR,1618355403
durango,24.8333,-104.8333,82.63,5,0,20.22,MX,1618355252
barmer,25.75,71.3833,75.87,27,4,11.74,IN,1618355405
san patricio,28.017,-97.5169,86.0,66,40,10.36,US,1618355405
wanaka,-44.7,169.15,52.0,93,17,1.01,NZ,1618355406
ilam,26.9167,87.9167,65.37,21,0,6.78,NP,1618355407
natal,-5.795,-35.2094,82.4,78,20,9.22,BR,1618355246
port-gentil,-0.7193,8.7815,78.8,94,20,2.1,GA,1618355408
saint george,37.1041,-113.5841,81.0,9,1,28.77,US,1618355409
castro,-24.7911,-50.0119,61.3,90,86,6.31,BR,1618355410
belyy yar,53.6039,91.3903,35.6,69,0,6.71,RU,1618355410
igede,10.0544,5.9416,80.62,56,78,8.93,NG,1618355411
waingapu,-9.6567,120.2641,77.31,82,2,4.12,ID,1618355412
lima,-12.0432,-77.0282,68.0,77,0,13.8,PE,1618355405
saint-philippe,-21.3585,55.7679,77.0,78,40,2.3,RE,1618355413
shkurinskaya,46.5858,39.3599,48.88,95,93,5.1,RU,1618355413
atambua,-9.1061,124.8925,73.72,79,34,3.02,ID,1618355414
longyearbyen,78.2186,15.6401,6.8,61,20,19.57,SJ,1618355414
palmer,42.1584,-72.3287,64.4,45,75,0.45,US,1618355415
aksarka,66.5606,67.7975,24.35,91,100,2.8,RU,1618355415
udachnyy,66.4167,112.4,10.65,95,56,4.59,RU,1618355416
songkhla,6.8333,100.6667,73.4,100,20,2.3,TH,1618355416
harper,4.375,-7.7169,81.07,84,100,7.14,LR,1618355417
port macquarie,-31.4333,152.9167,62.01,71,3,1.01,AU,1618355417
lata,40.1629,-8.3327,60.8,94,75,2.3,PT,1618355418
marsaxlokk,35.8419,14.5431,55.99,76,0,16.11,MT,1618355419
port hardy,50.6996,-127.4199,51.8,58,75,3.44,CA,1618355420
mindelo,16.8901,-24.9804,71.6,78,75,23.02,CV,1618355420
krasnogorskiy,54.6025,61.231,41.97,90,5,8.63,RU,1618355421
fairbanks,64.8378,-147.7164,46.4,49,20,4.61,US,1618355355
bethel,41.3712,-73.414,64.4,42,90,4.61,US,1618355423
dourbali,11.8091,15.8632,84.06,9,40,8.25,TD,1618355423
rawson,-43.3002,-65.1023,68.92,48,6,15.17,AR,1618355424
akyab,20.15,92.9,76.95,84,1,4.38,MM,1618355313
te anau,-45.4167,167.7167,51.04,88,93,1.01,NZ,1618355425
kharod,21.75,82.5667,77.09,11,1,5.32,IN,1618355425
kamenka,51.3223,42.7678,45.0,70,49,1.01,RU,1618355426
nizhnyaya tura,58.6293,59.8118,43.14,89,100,9.75,RU,1618355427
walvis bay,-22.9575,14.5053,84.2,18,0,16.11,NA,1618355427
hondo,32.45,130.2,51.8,71,75,16.11,JP,1618355428
gat,31.61,34.7642,55.99,67,58,5.01,IL,1618355429
la rioja,42.25,-2.5,53.01,81,0,1.23,ES,1618355429
bilgram,27.1833,80.0333,81.52,16,0,7.49,IN,1618355430
portland,45.5234,-122.6762,66.0,17,20,17.27,US,1618355062
san quintin,30.4833,-115.95,60.85,67,63,16.55,MX,1618355431
tucuman,-26.8241,-65.2226,68.0,73,36,4.61,AR,1618355431
oriximina,-1.7656,-55.8661,77.47,89,99,3.65,BR,1618355432
xuanhua,40.6103,115.0447,42.96,28,0,2.53,CN,1618355433
bend,44.0582,-121.3153,48.0,30,57,11.99,US,1618355433
viedma,-40.8135,-62.9967,74.17,27,3,11.14,AR,1618355434
port lincoln,-34.7333,135.8667,62.11,58,43,16.51,AU,1618355435
rio gallegos,-51.6226,-69.2181,55.4,58,40,33.38,AR,1618355436
onega,63.9061,38.1404,41.13,94,99,5.17,RU,1618355436
shinpokh,34.3292,71.1782,71.6,60,75,6.91,PK,1618355437
jiblah,13.9216,44.1467,61.74,63,8,4.18,YE,1618355437
umm lajj,25.0213,37.2685,71.74,47,100,7.78,SA,1618355438
vilyuysk,63.7553,121.6247,16.0,87,100,8.86,RU,1618355438
krasnoselkup,65.7,82.4667,15.55,96,76,9.78,RU,1618355439
saskylakh,71.9167,114.0833,10.76,94,92,4.68,RU,1618355440
bestobe,52.4994,73.0975,36.66,74,0,6.15,KZ,1618355440
port blair,11.6667,92.75,81.77,73,100,3.33,IN,1618355441
boundiali,9.5217,-6.4869,84.63,43,85,6.62,CI,1618355442
zinder,13.8072,8.9881,81.18,8,0,9.6,NE,1618355443
hofn,64.2539,-15.2082,40.86,53,52,8.59,IS,1618355443
mezen,65.8522,44.24,42.87,96,93,9.95,RU,1618355444
bogorodskoye,56.55,37.8833,51.8,63,18,11.23,RU,1618355444
haimen,23.1935,116.6142,69.8,78,75,6.71,CN,1618355445
shilovo,54.3204,40.874,50.27,64,22,9.06,RU,1618355445
sassandra,4.95,-6.0833,80.53,87,97,5.95,CI,1618355446
taltal,-25.4,-70.4833,64.81,81,25,3.24,CL,1618355446
morondava,-20.2833,44.2833,75.56,80,74,6.17,MG,1618355447
camapua,-19.5314,-54.0439,80.22,42,23,7.67,BR,1618355447
hokitika,-42.7167,170.9667,58.42,68,22,4.05,NZ,1618355448
tahe,52.3333,124.7333,22.03,60,23,3.0,CN,1618355448
roma,43.2128,-75.4557,62.6,39,1,9.22,US,1618355449
beringovskiy,63.05,179.3167,14.02,81,96,16.22,RU,1618355449
frunze,48.6686,38.7544,51.57,80,100,2.24,UA,1618355450
dhidhdhoo,6.8833,73.1,83.08,66,64,2.06,MV,1618355450
xinyang,32.1228,114.0656,54.36,90,100,8.88,CN,1618355405
kristiansund,63.1115,7.732,35.6,75,75,16.11,NO,1618355357
neuquen,-38.9516,-68.0591,77.0,44,0,3.44,AR,1618355197
avera,33.194,-82.5271,82.4,30,1,4.61,US,1618355452
kampene,-3.6,26.6667,68.04,99,100,1.32,CD,1618355453
caceres,39.522,-6.3748,52.97,84,98,6.38,ES,1618355453
san cristobal,7.7669,-72.225,87.8,62,40,5.75,VE,1618355454
bathsheba,13.2167,-59.5167,80.6,69,40,12.66,BB,1618355454
melfort,52.8667,-104.6177,30.2,59,100,13.8,CA,1618355455
borgustanskaya,44.0547,42.5288,44.6,93,90,4.47,RU,1618355456
nemuro,43.3236,145.575,39.96,97,100,13.98,JP,1618355250
robertsport,6.7533,-11.3686,80.26,81,90,5.73,LR,1618355457
esperance,-33.8667,121.9,53.6,94,90,8.05,AU,1618355458
pilar,-9.5972,-35.9567,77.0,88,0,3.44,BR,1618355459
nara,34.6851,135.8049,62.01,94,75,5.75,JP,1618355460
camabatela,-8.1881,15.375,62.02,95,71,2.77,AO,1618355461
derbent,42.0678,48.2899,51.22,66,40,5.14,RU,1618355461
awjilah,29.1081,21.2869,69.85,19,50,12.19,LY,1618355330
svetlaya,46.5389,138.3297,31.26,37,13,13.56,RU,1618355462
dunedin,-45.8742,170.5036,54.0,88,100,5.99,NZ,1618355462
yinchuan,38.4681,106.2731,43.0,40,14,7.09,CN,1618355463
jacareacanga,-6.2222,-57.7528,80.46,76,94,2.75,BR,1618355406
kargasok,59.0556,80.8572,35.49,98,100,8.21,RU,1618355464
cuamba,-14.8031,36.5372,65.12,96,63,4.9,MZ,1618355465
vrangel,42.7297,133.0839,35.65,40,10,8.72,RU,1618355465
kinshasa,-4.3246,15.3215,77.0,94,40,5.75,CD,1618355466
zhigansk,66.7697,123.3711,16.54,91,100,20.02,RU,1618355466
severo-kurilsk,50.6789,156.125,39.31,92,100,23.49,RU,1618355262
vardo,70.3705,31.1107,32.09,60,100,4.34,NO,1618355468
tongzi,28.7829,105.0877,62.02,87,100,3.38,CN,1618355468
bakel,14.905,-12.4568,93.61,14,0,3.33,SN,1618355469
tulum,20.2167,-87.4667,84.0,74,40,9.22,MX,1618355470
niono,14.2526,-5.993,93.45,10,0,7.0,ML,1618355470
saint-georges,12.0564,-61.7485,82.4,83,20,21.85,GD,1618355471
vieira de leiria,39.8695,-8.9324,60.8,94,75,2.3,PT,1618355471
marsh harbour,26.5412,-77.0636,75.81,72,0,16.02,BS,1618355472
boras,57.721,12.9401,32.0,74,0,4.61,SE,1618355473
raahe,64.6833,24.4833,33.8,86,90,5.75,FI,1618355473
lompoc,34.6391,-120.4579,57.99,62,30,12.66,US,1618355474
marzuq,14.4,46.4667,67.71,66,0,5.41,YE,1618355231
kaeo,-35.1,173.7833,66.99,86,4,10.0,NZ,1618355475
kununurra,-15.7667,128.7333,69.8,94,57,3.44,AU,1618355475
dingle,10.9995,122.6711,79.18,78,100,4.88,PH,1618355476
pali,25.7667,73.3333,77.83,22,7,4.97,IN,1618355476
leningradskiy,69.3833,178.4167,6.51,79,100,9.66,RU,1618355477
burgos,42.3394,-3.7079,46.4,87,90,2.3,ES,1618355477
eureka,40.8021,-124.1637,61.0,52,1,7.0,US,1618355409
san martin,-33.081,-68.4681,71.6,49,0,5.97,AR,1618355478
shishou,29.7226,112.419,55.51,92,100,14.45,CN,1618355479
causwagan,8.4475,125.8403,76.51,90,93,1.61,PH,1618355480
poltavka,54.3663,71.7632,30.85,97,34,7.87,RU,1618355480
semporna,4.4818,118.6112,73.4,100,20,2.3,MY,1618355231
poplar bluff,36.757,-90.3929,64.99,45,90,8.05,US,1618355481
aksu,41.1231,80.2644,52.29,33,63,4.34,CN,1618355481
toora-khem,52.4675,96.11,22.42,88,82,6.06,RU,1618355482
kanigiri,15.4,79.5167,78.49,85,2,3.56,IN,1618355483
santa barbara,34.7333,-120.0343,66.99,48,1,12.66,US,1618355484
sioux lookout,50.1001,-91.917,37.4,93,90,6.91,CA,1618355485
surgut,61.25,73.4167,41.0,60,0,6.71,RU,1618355485
bud,39.447,-86.1758,63.0,33,1,8.05,US,1618355486
takayama,36.1333,137.25,52.0,100,75,5.75,JP,1618355486
nikolayevka,53.1257,47.2041,46.11,68,4,4.23,RU,1618355487
vao,-22.6667,167.4833,75.38,84,88,22.95,NC,1618355488
russell,32.3502,-85.1999,84.2,57,1,3.58,US,1618355489
tiznit,29.5833,-9.5,59.81,74,95,5.61,MA,1618355489
fort nelson,58.8053,-122.7002,50.0,29,75,2.3,CA,1618355490
bolu,40.6667,31.5833,42.17,70,94,4.5,TR,1618355491
tupik,54.4253,119.9327,11.26,81,70,0.29,RU,1618355492
santiago,-33.4569,-70.6483,82.4,26,0,4.61,CL,1618355465
veliki preslav,43.1667,26.8167,49.48,95,100,4.25,BG,1618355493
wanning,18.8003,110.3967,75.11,84,77,2.89,CN,1618355372
suclayin,15.7568,121.5503,77.2,91,100,1.5,PH,1618355494
doka,13.5167,35.7667,83.25,15,69,8.23,SD,1618355494
olafsvik,64.8945,-23.7142,40.6,91,18,11.65,IS,1618355495
san pedro,14.35,121.0167,82.4,78,75,1.14,PH,1618355495
poum,-20.2333,164.0167,78.87,82,93,17.98,NC,1618355260
ostrovnoy,68.0531,39.5131,34.79,97,100,16.02,RU,1618355496
lovozero,68.005,35.0117,28.63,98,100,4.68,RU,1618355497
vitim,59.4511,112.5578,20.75,97,87,4.65,RU,1618355498
anloga,5.7947,0.8973,84.2,84,40,6.91,GH,1618355498
ouadda,8.0777,22.4007,65.71,86,70,2.21,CF,1618355499
saldanha,-33.0117,17.9442,62.6,67,58,3.44,ZA,1618355280
ozernovskiy,51.5,156.5167,38.25,87,100,24.61,RU,1618355500
roald,62.5833,6.1333,35.6,87,75,16.11,NO,1618355501
mount gambier,-37.8333,140.7667,57.2,82,90,13.8,AU,1618355299
magadan,59.5667,150.8,15.62,68,100,16.42,RU,1618355502
turukhansk,65.8167,87.9833,22.71,96,100,12.15,RU,1618355502
rio grande,-32.035,-52.0986,66.0,76,0,8.39,BR,1618355503
talnakh,69.4865,88.3972,18.93,96,100,6.78,RU,1618355503
banganapalle,15.3167,78.2333,80.47,64,2,5.73,IN,1618355229
muros,42.7762,-9.0603,53.01,92,100,4.81,ES,1618355504
jiwani,25.05,61.7417,79.9,63,40,6.42,PK,1618355505
coahuayana,18.7333,-103.6833,84.2,54,20,12.66,MX,1618355505
blackwater,-23.5833,148.8833,71.82,49,0,9.8,AU,1618355506
oistins,13.0667,-59.5333,80.6,69,40,12.66,BB,1618355506
ayagoz,47.9714,80.4392,33.58,71,2,17.25,KZ,1618355507
holland,42.7875,-86.1089,52.0,61,90,12.66,US,1618355507
yining,29.0361,114.5636,60.73,96,100,3.44,CN,1618355508
airai,-8.9266,125.4092,62.64,75,59,2.01,TL,1618355508
dickinson,29.4608,-95.0513,82.4,69,75,12.66,US,1618355509
iqaluit,63.7506,-68.5145,21.2,79,75,23.02,CA,1618355510
reykjavik,64.1355,-21.8954,44.6,70,75,6.91,IS,1618355341
abancay,-13.6339,-72.8814,59.76,85,83,4.43,PE,1618355511
strizhi,58.4576,49.2867,38.1,98,96,5.75,RU,1618355512
bretigny-sur-orge,48.6114,2.3059,41.0,56,0,6.91,FR,1618355512
prince george,53.9166,-122.753,57.0,23,84,1.01,CA,1618355513
cheyenne,41.14,-104.8203,36.0,44,75,5.75,US,1618355394
saint-leu,-21.15,55.2833,80.6,74,0,10.36,RE,1618355514
popondetta,-8.7537,148.2534,83.1,61,20,1.88,PG,1618355515
sobolevo,54.4299,31.8996,49.75,93,97,4.61,RU,1618355515
port hawkesbury,45.6169,-61.3485,43.0,65,75,6.91,CA,1618355224
catamarca,-28.4696,-65.7852,60.01,82,8,1.01,AR,1618355517
mildura,-34.2,142.15,66.2,55,90,10.36,AU,1618355447
